timestamp,pm2_5,pm10,no2,o3,aqi
2025-12-04 11:00:00,118.16,172.09,9.86,135.23,5
2025-12-04 12:00:00,114.83,171.01,14.46,114.68,5
2025-12-04 13:00:00,112.93,172.71,18.44,96.61,5
2025-12-04 14:00:00,114.18,179.54,20.37,83.9,5
2025-12-04 15:00:00,116.07,187.95,20.08,74.67,5
2025-12-04 16:00:00,115.41,193.24,18.6,67.15,5
2025-12-04 17:00:00,115.67,199.19,17.41,62.68,5
2025-12-04 18:00:00,115.48,202.16,16.41,61.12,5
2025-12-04 19:00:00,113.61,199.86,15.09,63.05,5
2025-12-04 20:00:00,113.78,199.92,14.34,62.99,5
2025-12-04 21:00:00,116.36,204.11,14.07,61.55,5
2025-12-04 22:00:00,120.42,209.94,14.4,59.91,5
2025-12-04 23:00:00,125.15,216.43,14.96,58.21,5
2025-12-05 00:00:00,130.12,222.93,15.77,55.82,5
2025-12-05 01:00:00,135.14,228.62,17.02,52.18,5
2025-12-05 02:00:00,142.43,237.55,20.7,46.37,5
2025-12-05 03:00:00,150.98,248.16,26.71,37.5,5
2025-12-05 04:00:00,156.69,254.07,25.68,35.4,5
2025-12-05 05:00:00,161.3,256.75,22.72,41.84,5
2025-12-05 06:00:00,166.64,257.23,21.62,58.42,5
2025-12-05 07:00:00,116.15,181.39,7.88,131.4,5
2025-12-05 08:00:00,106.28,166.97,5.13,146.4,5
2025-12-05 09:00:00,107.0,167.57,4.59,153.23,5
2025-12-05 10:00:00,109.85,170.71,7.03,143.8,5
2025-12-05 11:00:00,115.58,177.42,12.73,125.69,5
2025-12-05 12:00:00,121.2,185.74,20.19,111.62,5
2025-12-05 13:00:00,126.87,194.53,26.81,99.65,5
2025-12-05 14:00:00,133.35,205.73,30.4,89.15,5
2025-12-05 15:00:00,139.45,217.36,30.4,80.04,5
2025-12-05 16:00:00,143.37,225.87,28.06,71.37,5
2025-12-05 17:00:00,148.12,235.24,25.97,65.95,5
2025-12-05 18:00:00,151.21,240.89,23.95,62.28,5
2025-12-05 19:00:00,150.23,239.03,21.17,61.72,5
2025-12-05 20:00:00,150.14,237.9,18.02,65.39,5
2025-12-05 21:00:00,150.9,237.51,15.17,69.76,5
2025-12-05 22:00:00,151.27,236.2,12.66,74.11,5
2025-12-05 23:00:00,151.96,235.65,10.62,78.49,5
2025-12-06 00:00:00,152.18,234.95,9.23,82.16,5
2025-12-06 01:00:00,152.61,234.77,8.71,84.35,5
2025-12-06 02:00:00,154.25,237.59,10.31,83.34,5
2025-12-06 03:00:00,155.66,240.78,14.14,76.32,5
2025-12-06 04:00:00,154.12,239.33,15.94,67.5,5
2025-12-06 05:00:00,154.06,238.25,15.73,71.78,5
2025-12-06 06:00:00,160.62,242.16,15.67,90.23,5
2025-12-06 07:00:00,154.56,224.51,13.84,131.05,5
2025-12-06 08:00:00,144.91,206.97,11.48,148.37,5
2025-12-06 09:00:00,134.53,190.96,9.7,155.32,5
2025-12-06 10:00:00,125.83,178.23,9.14,146.71,5
2025-12-06 11:00:00,119.37,168.87,10.82,128.9,5
2025-12-06 12:00:00,111.42,158.64,13.62,110.88,5
2025-12-06 13:00:00,104.89,150.45,15.99,95.01,5
2025-12-06 14:00:00,103.69,149.95,17.44,83.74,5
2025-12-06 15:00:00,104.37,152.46,17.39,75.66,5
2025-12-06 16:00:00,104.42,153.98,16.44,69.01,5
2025-12-06 17:00:00,106.08,157.46,15.71,64.35,5
2025-12-06 18:00:00,107.69,159.62,15.04,61.81,5
2025-12-06 19:00:00,107.61,157.69,13.74,61.53,5
2025-12-06 20:00:00,108.58,157.16,12.56,61.66,5
2025-12-06 21:00:00,110.28,158.22,11.89,61.17,5
2025-12-06 22:00:00,112.78,160.52,11.7,60.07,5
2025-12-06 23:00:00,116.73,165.02,11.77,57.44,5
2025-12-07 00:00:00,121.93,171.22,12.26,53.18,5
2025-12-07 01:00:00,128.36,178.8,13.28,48.13,5
2025-12-07 02:00:00,137.44,190.85,15.88,42.57,5
2025-12-07 03:00:00,146.88,204.09,19.95,35.82,5
2025-12-07 04:00:00,152.16,212.12,18.74,35.23,5
2025-12-07 05:00:00,156.77,218.26,16.56,41.26,5
2025-12-07 06:00:00,164.3,225.61,16.13,56.67,5
2025-12-07 07:00:00,143.48,194.93,7.59,118.33,5
2025-12-07 08:00:00,133.39,181.07,4.98,139.3,5
2025-12-07 09:00:00,127.84,173.94,4.19,149.18,5
2025-12-07 10:00:00,130.57,177.08,6.26,150.31,5
2025-12-07 11:00:00,137.83,185.5,11.02,145.3,5
2025-12-07 12:00:00,144.1,193.55,16.68,137.24,5
